序号,产品名称,标题后缀,规格数组,规格单位,进货价,实拍图数组,视频文件名,到货状态(能上或者不能上),
1,卫生间收纳柜,A026,"[""3"", ""4"", ""5""]",层,"[""80"", ""100"", ""116""]",["A026.jpg"],,1,
2,带轮子的滚动洗衣篮,A045/A046,"[""中号"", ""大号""]",规格,大35小32,"[""A045.jpg"",""A046.png""]",,1,
3,三层晾衣架(单管）,A057型号,"[""蓝"", ""粉"", ""灰"", ""黑""]",颜色/款式,39,["A057.jpg"],,1,
4,马桶刷 黑色,A061型号 B022,"[""有托盘带侧杆"", ""有托盘不带侧杆"", ""无托盘带侧杆"", ""全包托盘带侧杆""]",规格,50,["A062.jpg"],,1,
5,15cm（大号）方形猫砂盆,A055,"[""15"", ""17.5""]",cm,中号70,,,1,
6,注水式提壶哑铃,A064,"[""粉"", ""蓝"", ""玫红""]",颜色/款式,30,["A064.jpg"],,1,
7,太空人垃圾桶,A065,"[""站姿黑色"", ""红色"", ""奶白色""]",颜色/款式,36,["A065.jpg"],,1,
8,车载储物箱,A066,["凳子款全黑"],颜色/款式,93,["A066.jpg"],,1,
9,车载储水箱,A067,"[""白色"", ""绿色"", ""黑色""]",颜色/款式,72,["A067.jpg"],,1,
10,户外便携式帐篷,A068,"[""流沙金两门两窗版中号"", ""流沙金两门两窗版大号带防潮垫""]",颜色/款式,86,["A068.jpg"],,1,
11,2件装木工支撑杆,A069,["2"],件,36,["A069.jpg"],,1,
12,空灵鼓,A070,"[""黑色"", ""绿色"", ""紫色""]",颜色/款式,55,["A070.jpg"],,1,
13,俯卧撑支撑器,A071,["黑色"],颜色/款式,19,["A071.jpg"],,1,
14,C型滚边储物桌,A072,"[""黑色"", ""胡桃色""]",颜色/款式,30,,,0,
15,圆形床头收纳柜,A073,"[""黄色"", ""白色"", ""粉色"", ""红色""]",颜色/款式,104,["A073.jpg"],,1,
16,战术汽车座椅收纳袋,A074,"[""军绿色"", ""黑色"", ""卡其色""]",颜色/款式,102,["A074.jpg"],,1,
17,超大彩色垃圾桶,A075,"[""黑色"", ""红色"", ""奶油色""]",颜色/款式,80,["A075.jpg"],,1,
18,瑜伽踏板,A076,"[""红"", ""黄"", ""蓝"", ""灰""]",颜色/款式,30,["A076.jpg"],,1,
19,午休折叠床,A077,"[""灰色"", ""加固八角款66*190""]",颜色/款式,59,["A077.jpg"],,1,
20,双门浴室置物柜,A078,"[""白色"", ""拳击球""]",颜色/款式,24,["A078.jpg"],,1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
