序号,产品名称,标题后缀,规格数组,规格单位,进货价,实拍图数组,视频链接,到货状态(能上或者不能上)
1,卫生间收纳柜,A026,"[""3"", ""4"", ""5""]",层,"[""80"", ""100"", ""116""]",["A026.jpg"],https://goods-vod.kwcdn.com/goods-video/1ad6e3c82f89ee54450b4513187a1c4477345229.f30.mp4,1
2,带轮子的滚动洗衣篮,A045/A046,"[""中号"", ""大号""]",规格,大35小32,"[""A045.jpg"",""A046.png""]",https://goods-vod.kwcdn.com/goods-video/fd59c2f287d094624a3767c4327af55dd27f9b97.f30.mp4,1
3,三层晾衣架(单管）,A057型号,"[""蓝"", ""粉"", ""灰"", ""黑""]",颜色/款式,39,["A057.jpg"],https://goods-vod.kwcdn.com/goods-video/2823e175aa8daa5b453ffba076d7d2c05f28c89fgs2CV.f30.mp4,1
4,马桶刷 黑色,A061型号 B022,"[""有托盘带侧杆"", ""有托盘不带侧杆"", ""无托盘带侧杆"", ""全包托盘带侧杆""]",规格,50,["A062.jpg"],https://goods-vod.kwcdn.com/goods-video/dc66302aa5248d9b03c5738ee340b62c02ec9866.f30.mp4,1
5,15cm（大号）方形猫砂盆,A055,"[""15"", ""17.5""]",cm,中号70,["A055.jpg"],https://goods-vod.kwcdn.com/goods-video/9f6409c4317e00f9909af2548e7f18b4ebbd354a.f30.mp4,1
6,注水式提壶哑铃,A064,"[""粉"", ""蓝"", ""玫红""]",颜色/款式,30,["A064.jpg"],https://goods-vod.kwcdn.com/goods-video/5e7dd6d1bd50ca677bf964421689e62721a09e59.f30.mp4,1
7,太空人垃圾桶,A065,"[""站姿黑色"", ""红色"", ""奶白色""]",颜色/款式,36,["A065.jpg"],https://goods-vod.kwcdn.com/goods-video/025d6dff49b2cda6948b1130068933b6baabbacd.f30.mp4,1
8,车载储物箱,A066,["凳子款全黑"],颜色/款式,93,["A066.jpg"],https://goods-vod.kwcdn.com/goods-video/eec274a3cae6170e4d8e5a73f189eaad6ebe00d1.f30.mp4,1
9,车载储水箱,A067,"[""白色"", ""绿色"", ""黑色""]",颜色/款式,72,["A067.jpg"],https://goods-vod.kwcdn.com/goods-video/ae52fb3d9b6128686fd4fc87a04a5f228a85c2c5.f30.mp4,1
10,户外便携式帐篷,A068,"[""流沙金两门两窗版中号"", ""流沙金两门两窗版大号带防潮垫""]",颜色/款式,86,["A068.jpg"],https://goods-vod.kwcdn.com/goods-video/833fe16cc23aabd0f89979ebd26bcf0811480be3.f30.mp4,1
11,2件装木工支撑杆,A069,["2"],件,36,["A069.jpg"],https://goods-vod.kwcdn.com/goods-video/040125cc10c9511ee7e8f7251588a091d5e2a5d9.f30.mp4,1
12,空灵鼓,A070,"[""黑色"", ""绿色"", ""紫色""]",颜色/款式,55,["A070.jpg"],https://goods-vod.kwcdn.com/goods-video/28429247aea740a7dc84dea588e91aeeb73d8dc3.f30.mp4,1
13,俯卧撑支撑器,A071,["黑色"],颜色/款式,19,["A071.jpg"],https://goods-vod.kwcdn.com/goods-video/c7dd00e2d8f7389ca7bd88d74fef2f1f376ec857.f30.mp4,1
14,C型滚边储物桌,A072,"[""黑色"", ""胡桃色""]",颜色/款式,30,["A072.jpg"],https://goods-vod.kwcdn.com/goods-video/8e7a8dd77f9feb3b6a527d3ac163bdc9102ee957.f30.mp4,0
15,圆形床头收纳柜,A073,"[""黄色"", ""白色"", ""粉色"", ""红色""]",颜色/款式,104,["A073.jpg"],https://goods-vod.kwcdn.com/goods-video/15f9285691ce95cc99e527643d5fbdb26b2af397.f30.mp4,1
16,战术汽车座椅收纳袋,A074,"[""军绿色"", ""黑色"", ""卡其色""]",颜色/款式,102,["A074.jpg"],https://goods-vod.kwcdn.com/goods-video/c50cc73d5134107bdda9f70cf5f384b877fa91e3.f30.mp4,1
17,超大彩色垃圾桶,A075,"[""黑色"", ""红色"", ""奶油色""]",颜色/款式,80,["A075.jpg"],,1
18,瑜伽踏板,A076,"[""红"", ""黄"", ""蓝"", ""灰""]",颜色/款式,30,["A076.jpg"],,1
19,午休折叠床,A077,"[""灰色"", ""加固八角款66*190""]",颜色/款式,59,["A077.jpg"],,1
20,双门浴室置物柜,A078,["白色"],颜色/款式,24,["A078.jpg"],,1
21,拳击球,A079,["拳击球"],颜色/款式,36,["A079.jpg"],,1
22,木工钳子,A080,["木工钳子"],规格,13,["A080.jpg"],,1
23,重型自动收缩带,A081,["重型自动收缩带"],规格,38,["A081.jpg"],,1
24,圣诞树,A082,"[""150"", ""180"", ""240"",""3""]",cm,"[""32"", ""53"", ""99"",""134""]",["A082.jpg"],,1
25,6层金属塑料储物柜带防尘罩,A083,"[""黑"", ""白色""]",颜色/款式,50,["A083.jpg"],,1
26,厨房碗碟架,A084,["黑色双层全套"],颜色/款式,23,["A084.jpg"],,1
